,id,time,rating,comment
0,MM5P9cKlzovYLcf5qf2SwQ,2/18/2017,3 star rating,"3.5 stars overall taking into consideration portion size, price and the food 5 stars for the cooked foods and service3 stars for the sushiWe ordered the omakase sushi course, oxtail pappardelle, grilled octopus, honey and milk ice cream and the sesame parfait.Service was great and very attentive without being overbearing. We started with the omakase which was honestly very disappointing. The sushi was very tiny and the fish they served was nothing special. It was very fresh but as a chef's choice course it seemed very ordinary. A few of the pieces actually tasted pretty awful... the scallop with smoked sea salt was the worst and left a very bitter after taste in my mouth. The chopped mackerel with sesame and ginger was also a really weird combination and left a very unpleasant taste in my mouth. Everything else was OK and not memorable. On the other hand the cooked dishes were phenomenal! The grilled octopus was melt in your mouth and cooked to perfection. The oxtail pappardelle was really amazing. Loved the fresh pasta and the mushrooms paired with the oxtail ragu. The milk and honey ice cream was really awesome but the sesame parfait was a miss for me since the sesame ice cream was way too strong.Beware that portion sizes are incredibly small here!  Overall a really nice restaurant for a nice date and I would come back but only for the cooked items."
1,MM5P9cKlzovYLcf5qf2SwQ,7/30/2018,4 star rating,"Though I love sushi, I've never been much of a sushi snob... I'll even eat the pre-packaged stuff sometimes (don't @ me). But I have to admit it's a lovely treat to enjoy the high quality stuff once in a while, especially in the creative and unique way that 1 or 8 does it. Though I didn't take part in the omakase, my dining partner and I still got a VERY full meal thanks to the many small dishes we ordered to share. We got the karaage, shishito peppers, kale and seaweed salad, grilled squid, the yellowtalk temaki (which comes with ingredients to make two hand rolls), and a spicy tuna roll. Oh and some rosé of course. If that sounds like a lot for two people, it was, but we demolished it all. Oh yeah, and the sesame parfait for dessert. Out of all of those dishes, my favorites were the kale and seaweed salad (which I thought seemed overpriced on the menu but it's so delightful and a very large portion) and the sushi items. I love the temaki and the cute way it's presented, with those little discs of rice. Eeep! Makes me think that if I return, I'll definitely want to do the omakase as the sushi is really where it's at here. As for the ambiance, it's so much larger than I thought it was going to be on the interior, with a modern white ambiance and open space. It was super quiet and chill on a Friday evening, with some families and couples on dates. The service was great, as well!"
2,MM5P9cKlzovYLcf5qf2SwQ,7/6/2016,4 star rating,"This place was super cool and trendy with an all white interior, it actually felt very Miami to me. I thought this was a fun experience since Omakase tends to feel very proper and formal, this on the other hand felt like fun Omakase for a younger crowd. My group and I made a reservation for the sushi bar since doing Omakase at the table seems a bit silly to me and our sushi chef Kei was very interactive and was fun to talk to. I enjoyed my meal but the one issue I did find with all the pieces, I felt all the pieces were on the small side and my group left not 100% full. I did the $120 Omakase which came with a little over 20 pieces.The food:  Striped Jack or Shima Aji- This is one of my fav fishes and this piece was very nice, I really loved the flavor and the texture was great. yelp.com/user_local_phot…Salt Marinated Blue Fin Tuna- I was a little surprised that this piece was just good. I normally really like blue fin tuna.Golden Eye Snapper or Kinmedai- I really liked this one a lot, this had excellent favor and was a fav.King Salmon from Tasmania- This was another favorite, simply amazing.Horse Mackerel or Aji with Fresh Ginger and Scallion- I normally love this piece but the one here was just good, it was surprisingly more mild in flavor than I am used to.Hokkaido Scallop or Hotate with Shisho and Yuzu- The scallop was so perfectly sweet and the texture was amazing. This was a fav.Medium Fatty Tuna or Chutoro from Spain- The Chutoro is a fav and the one here was really good. yelp.com/user_local_phot…Jumbo Shrimp Liver Sauce- This was a unique dish, it was the crab liver on top of a beautiful jumbo shrimp, I enjoyed the flavor of this one but it does have a sea funk that could be off putting for some.Big Eye Snapper with Yuzukosho- It's basically Big eye snapper with a yuzu pepper paste. I thought this piece totally worked, it had great texture and flavor.Santa Barbara Uni with Ikura and Shisho- This was so good, it was perfectly balanced. I liked how the salty Ikura paired with the sea urchin, very good.Japanese Fresh Water Eel or Unagi- I normally love eel and the texture here was nice but I couldn't help feel that the eel was a tad fishy.Grunt Fish- I eat a ton of sushi but I never heard of Grunt Fish but I am a fan. It was really nice, it kinda looked like Striped Jack to me.Sockeye Salmon- Great as usual, so velvety. yelp.com/user_local_phot…Yellowtail Belly- This was excellent, this was a fav and it tasted like butter, no it actually tasted like butter. Nom nomJapanese Snapper or Madai with Shiso and Sesame Seeds- This was such a perfect pairing.Butter Fish- This had really nice texture, the flavor was good but it kinda reminded me of eel for some reason.Amberjack Belly or Kanpachi- One of my favorite fishes and this was exceptional, this was a fav.Baby Sardine or Shirasu with Quail Egg- I don't normally like any Sardine and this was no exception, this was my least favorite. It was really fishy to me. Chopped Chutoro with Otoro Pickled Radish and Scallion- This was so unique and I really enjoyed the flavor, the pickled radish pops with flavor and pairs well with the fish. yelp.com/user_local_phot…Japanese Striped Bass- It was really nice flavor and texture, but it was more chewy than I expected. Baby Sardine with Crumbled Egg Yolk- It was unique but any sardine is fishy and I am not a fan. Second piece that I didn't care for.Hokkaido Uni- Not the prettiest piece of Uni I have seen but the Hokkaido Uni was excellent. This was a fav.Tamago- The last piece was the sweetened Japanese omelette and it was good, nothing amazing but good."
3,MM5P9cKlzovYLcf5qf2SwQ,12/7/2015,3 star rating,"All I wanted was to think 1 or 8 was great. Not just because I love rhyming, but because I prefer fantastic dinners to mediocre meals.Don't get me wrong; there were definitely highlights to our meal: The large space hidden behind a seemingly small bar is gorgeous. It's clean, and vibrant, and we felt primed for a stellar meal. Our appetizers were also excellent. We thoroughly enjoyed the fried chicken, the dumplings, and more...all satisfying and delicious.Unfortunately, the sushi is supposedly the star of the show here, and it was nothing if not underwhelming. I suppose we could be somewhat at fault because we didn't opt for the much-praised omakase option, but if the place is high quality, that excellence should extend to the maki, the nigiri, and across the board. Even more frustrating was that the service was perfunctory and inattentive. The servers simply forgot about us on multiple occasions. I can appreciate that they might be extremely busy on a  Saturday evening, but we were forced to actually flag someone down after 15 minutes to order. When we finally did, the woman who I suppose was slated to be our waitress got visibly angry at the man we tapped, took back the table...and then proceeded to again ignore us for the rest of the meal. Quite simply, especially at this price point, I have to expect both the sushi and the service to be much better."
4,MM5P9cKlzovYLcf5qf2SwQ,6/17/2018,3 star rating,I was a bit disappointed after hearing the hype for this place for many years. The food was decent but not necessarily worth the trek from Manhattan. Food:Hokkaido uni - goodOh toro - ok Red snapper - ok  Aka ebi - okDuck taco - okOden - was good
5,MM5P9cKlzovYLcf5qf2SwQ,2/9/2020,5 star rating,"Just had the omakase at the new location on DeKalb. They escort you to the secret back counter with 6 seats. Here the sushi chef will prepare the best fish from Japan. I would say this is the best sushi I've had in Brooklyn. I've traveled to Japan and this is on par with some of the best. The service is fantastic, and the chef made sure we were happy. Highly recommend!"
6,MM5P9cKlzovYLcf5qf2SwQ,10/1/2020,5 star rating,"One of the best Japanese restaurant in Brooklyn. Price to quality ratio is very good. The Karaage (fried chicken) is delicious and not greasy.   The Japanese staff were friendly, hugely accommodating and efficient. Overall, this is a solid Japanese fare experience. I highly recommend"
7,MM5P9cKlzovYLcf5qf2SwQ,10/30/2018,5 star rating,"Amazing atmosphere food drinks and staff. Would highly recommend the octopus, which was delightful. The sushi is so fresh and the drinks were amazing. I still can't believe what a lovely waitYet another stellar dining experience at 1 or 8:Lychee martinis Shishito peppersShrimp dumplings Grilled octopus Ramen noodles Out of this world!"
8,MM5P9cKlzovYLcf5qf2SwQ,12/16/2019,5 star rating,Came here for a quick snack in the bar area. There were a lot of families and kids coming in through the door on a Sunday night which means this place must be family friendly as well! The inside area is partitioned away from the bar. The bar area in the front was very classy. The most memorable were the oysters as the oysters themselves tasted amazingly fresh and the sauce was such a unique flavor. Rather than the standard sauce provided for oysters they created their own miso blend
9,MM5P9cKlzovYLcf5qf2SwQ,4/14/2017,3 star rating,"Read so many good reviews and was extremely excited to try their omakase. When the first half of the omakase came, I almost stood up and walked out of the door. They were the tiniest nigiri I've ever seen in my life! Are they made for barbies? Each piece was like the size of my thumb! (Btw-I'm petite) and I started looking for other restaurants nearby that I can go afterward during the meal. The quality of the fish was good though and the seasoning was simple. The yellowtail collar was pretty big though (but it was $24), and it was pretty tender. I especially love the radish dipped with soy sauce. We felt that the food wasn't enough and flipped through the pictures on yelp and decided to order the fancy ""1 or 8 roll. It was NOT a good decision at all. Besides the uni and salmon roe, the flavor of the roll itself was not right. The vegetables inside sort of threw it off. The food isn't bad, but I bet you can find something better with similar price range in manhattan."
