id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
s9pxTIWRwCHzMAOHbcmuFw,chicken-shack-astoria,Chicken Shack,https://s3-media2.fl.yelpcdn.com/bphoto/h4s59I9mjYSuO3OkNJIZuw/o.jpg,False,https://www.yelp.com/biz/chicken-shack-astoria?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,109,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.0,"{'latitude': 40.75991227948, 'longitude': -73.9206100740682}","['pickup', 'delivery']",$$,"{'address1': '36-19 Broadway', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['36-19 Broadway', 'Astoria, NY 11106']}",+17187213035,(718) 721-3035,10936.818786970323
e08qVeVYBR-0QI_G0NDZpw,sugar-monk-new-york,Sugar Monk,https://s3-media1.fl.yelpcdn.com/bphoto/mMpmMnmWnud-NID1Q6Q-jw/o.jpg,False,https://www.yelp.com/biz/sugar-monk-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,152,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.5,"{'latitude': 40.80896, 'longitude': -73.95184}","['delivery', 'pickup']",$$,"{'address1': '2292 Frederick Douglass Blvd', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['2292 Frederick Douglass Blvd', 'New York, NY 10027']}",+19174090028,(917) 409-0028,1144.4270934279732
a-hVnSTC12MY5L3t9yOSJw,eastern-chinese-restaurant-long-island-city,Eastern Chinese Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/wwv8uGMmPUCmepo7qbYChg/o.jpg,False,https://www.yelp.com/biz/eastern-chinese-restaurant-long-island-city?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,31,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.0,"{'latitude': 40.7656686822612, 'longitude': -73.9307687804103}","['delivery', 'pickup']",$,"{'address1': '2105 Broadway', 'address2': '', 'address3': 'Broadway Shopping Ctr', 'city': 'Long Island City', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['2105 Broadway', 'Broadway Shopping Ctr', 'Long Island City, NY 11106']}",+17182787333,(718) 278-7333,86.16433401694978
JWQlPP4Oxrtwb0rNjnVgIg,hunts-point-chinese-restaurant-bronx,Hunts Point Chinese Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/Gr5yzWJvRzAxQgmefxRg0g/o.jpg,False,https://www.yelp.com/biz/hunts-point-chinese-restaurant-bronx?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,8,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 40.81965, 'longitude': -73.89302}",['delivery'],,"{'address1': '901 Southern Blvd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10459', 'country': 'US', 'state': 'NY', 'display_address': ['901 Southern Blvd', 'Bronx, NY 10459']}",+17183782055,(718) 378-2055,21.323893242829453
nXh79laNQ7leN92F5Ore-Q,forever-taste-new-york,Forever Taste,https://s3-media2.fl.yelpcdn.com/bphoto/ovt1wc0fuMFoMuv2KlA6Dg/o.jpg,False,https://www.yelp.com/biz/forever-taste-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,52,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 40.71293, 'longitude': -73.98994}",['delivery'],$,"{'address1': '27 Rutgers St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['27 Rutgers St', 'New York, NY 10002']}",+16462888434,(646) 288-8434,25.21053518758765
aYLRu3W-mzdqxJIOom6K9Q,dunkin-brooklyn-146,Dunkin',https://s3-media3.fl.yelpcdn.com/bphoto/GMZAl0tlST1dj6Insr03pw/o.jpg,False,https://www.yelp.com/biz/dunkin-brooklyn-146?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,20,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",2.5,"{'latitude': 40.610584, 'longitude': -73.954506}",['delivery'],$,"{'address1': '1903 Kings Hwy', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11229', 'country': 'US', 'state': 'NY', 'display_address': ['1903 Kings Hwy', 'Brooklyn, NY 11229']}",+17189980991,(718) 998-0991,28.082995809106723
znlol6dCKwjoXpZZwV_ZOg,nacho-macho-taco-brooklyn,Nacho Macho Taco,https://s3-media4.fl.yelpcdn.com/bphoto/cGNDlc8Uk6dNsNNV19-L8g/o.jpg,False,https://www.yelp.com/biz/nacho-macho-taco-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,232,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 40.680574, 'longitude': -73.977879}","['delivery', 'pickup']",$,"{'address1': '82 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['82 5th Ave', 'Brooklyn, NY 11217']}",+17186228282,(718) 622-8282,16.020564214510845
9dqJrTzx0GvBNb-J0VyeGg,paris-baguette-new-york-27,Paris Baguette,https://s3-media1.fl.yelpcdn.com/bphoto/Pm8UsTW-lAam8tY48yqszA/o.jpg,False,https://www.yelp.com/biz/paris-baguette-new-york-27?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,35,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",3.5,"{'latitude': 40.7425, 'longitude': -73.99287}","['delivery', 'pickup']",$,"{'address1': '700 6th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['700 6th Ave', 'New York, NY 10010']}",+16467264558,(646) 726-4558,24.594929921726465
to-74okh0K990qMkmRM4dg,city-diner-jersey-city,City Diner,https://s3-media3.fl.yelpcdn.com/bphoto/kGGANpk7xClz0dB600268A/o.jpg,False,https://www.yelp.com/biz/city-diner-jersey-city?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,821,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'diners', 'title': 'Diners'}]",3.0,"{'latitude': 40.7163596, 'longitude': -74.0355895}","['delivery', 'pickup']",$$,"{'address1': '31 Montgomery St', 'address2': '', 'address3': '', 'city': 'Jersey City', 'zip_code': '07302', 'country': 'US', 'state': 'NJ', 'display_address': ['31 Montgomery St', 'Jersey City, NJ 07302']}",+12017215331,(201) 721-5331,11475.48519811423
dNFsMw-z3Vsa5TbJd9Q4Ew,faces-and-names-new-york,Faces & Names,https://s3-media1.fl.yelpcdn.com/bphoto/US6jhT3w_98umQq16VlhnA/o.jpg,False,https://www.yelp.com/biz/faces-and-names-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA,411,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.76351, 'longitude': -73.98098}","['delivery', 'pickup']",$$,"{'address1': '159 W 54th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['159 W 54th St', 'New York, NY 10019']}",+12125869311,(212) 586-9311,36.44830545701163
